CODE,AREA,AGE GROUP,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
E92000001,ENGLAND,All ages,"55,977,178","56,343,072","56,678,470","56,989,570","57,282,105","57,557,521","57,816,890","58,060,235","58,297,244","58,527,723","58,751,651","58,969,496","59,181,798","59,389,102","59,592,225","59,792,005","59,988,992","60,183,914","60,377,815","60,571,681","60,766,253","60,961,805","61,157,868","61,353,965","61,549,624","61,744,098"
E12000001,NORTH EAST,All ages,"2,657,909","2,667,111","2,674,534","2,681,101","2,687,177","2,692,990","2,698,583","2,703,903","2,709,211","2,714,331","2,719,080","2,723,523","2,727,690","2,731,690","2,735,288","2,738,584","2,741,712","2,744,728","2,747,601","2,750,334","2,752,928","2,755,581","2,758,332","2,761,161","2,764,023","2,766,882"
E06000047,County Durham,All ages,"526,980","529,671","531,934","533,954","535,854","537,783","539,641","541,447","543,211","544,896","546,455","547,908","549,290","550,639","551,802","552,835","553,816","554,779","555,674","556,523","557,299","558,092","558,915","559,755","560,593","561,423"
E06000005,Darlington,All ages,"106,566","106,694","106,827","106,931","107,021","107,072","107,107","107,103","107,097","107,087","107,072","107,061","107,049","107,025","107,012","107,025","107,047","107,073","107,116","107,165","107,230","107,297","107,367","107,434","107,500","107,567"
E06000001,Hartlepool,All ages,"93,242","93,365","93,457","93,548","93,619","93,671","93,692","93,694","93,692","93,690","93,683","93,667","93,648","93,633","93,633","93,636","93,647","93,657","93,675","93,698","93,726","93,755","93,784","93,811","93,835","93,857"
E06000002,Middlesbrough,All ages,"140,545","140,530","140,421","140,299","140,173","140,033","139,895","139,757","139,644","139,551","139,476","139,414","139,353","139,306","139,245","139,181","139,118","139,059","138,998","138,935","138,870","138,809","138,758","138,713","138,674","138,643"
E06000057,Northumberland,All ages,"320,274","321,605","322,849","324,072","325,266","326,374","327,436","328,413","329,384","330,254","331,086","331,852","332,557","333,218","333,853","334,487","335,096","335,623","336,112","336,592","337,087","337,570","338,028","338,478","338,922","339,367"
E06000003,Redcar and Cleveland,All ages,"136,718","137,348","137,878","138,353","138,801","139,199","139,562","139,857","140,131","140,378","140,605","140,797","140,948","141,073","141,192","141,317","141,440","141,564","141,671","141,785","141,911","142,035","142,160","142,285","142,413","142,537"
E06000004,Stockton-on-Tees,All ages,"197,213","197,772","198,251","198,704","199,114","199,461","199,753","199,973","200,147","200,271","200,357","200,410","200,435","200,443","200,449","200,463","200,475","200,498","200,520","200,572","200,647","200,738","200,837","200,943","201,054","201,167"
E11000007,Tyne and Wear (Met County),All ages,"1,136,371","1,140,125","1,142,916","1,145,240","1,147,329","1,149,398","1,151,498","1,153,660","1,155,906","1,158,205","1,160,347","1,162,414","1,164,411","1,166,353","1,168,102","1,169,640","1,171,073","1,172,475","1,173,835","1,175,065","1,176,159","1,177,284","1,178,485","1,179,742","1,181,031","1,182,322"
